"","id_piezometro","anno","media_nivel","n_medidas","sd_nivel"
"170","2144-7-0139",1986,0.256666666666667,6,0.123234194388841
"171","2144-7-0139",1987,0.321428571428571,7,0.135083748273503
"172","2144-7-0139",1988,0.411666666666667,6,0.115657540466096
"173","2144-7-0139",1989,0.3,2,0.0424264068711929
"174","2144-7-0139",1992,0.383333333333333,3,0.140118997046558
"175","2144-7-0139",1993,0.206666666666667,3,0.101159939369957
"176","2144-7-0139",1994,0.2325,4,0.0888350531415762
"177","2144-7-0139",1995,0.195,4,0.0640312423743285
"178","2144-7-0139",1996,0.423333333333333,6,0.0952190457139047
"179","2144-7-0139",1997,1.105,2,0.0353553390593273
"180","2144-7-0139",1998,1.08666666666667,3,0.254034118443435
"181","2144-7-0140",1979,1.255,4,0.177482393492988
"182","2144-7-0140",1980,0.92,10,0.350713558335004
"183","2144-7-0140",1981,0.503636363636364,11,0.175229719355635
"184","2144-7-0140",1982,0.464285714285714,7,0.222625031750486
"185","2144-7-0140",1983,0.413333333333333,3,0.135769412362775
"186","2144-7-0140",1984,0.61,1,NA
"187","2144-7-0140",1985,0.50875,8,0.263841808665723
"188","2144-7-0140",1986,0.166666666666667,6,0.202944984334836
"189","2144-7-0140",1987,0.237142857142857,7,0.188389161552559
"190","2144-7-0140",1988,0.366666666666667,6,0.135449867724803
"191","2144-7-0140",1989,0.18,2,0.0848528137423857
"192","2144-7-0140",1992,0.466666666666667,3,0.296872587709498
"193","2144-7-0140",1993,0.0866666666666667,3,0.0929157324317757
"194","2144-7-0140",1994,0.1025,4,0.123389626792531
"195","2144-7-0140",1995,0.0225,4,0.10688779163216
"196","2144-7-0140",1996,0.428333333333333,6,0.188617779296297
"197","2144-7-0140",1997,1.7,2,0.113137084989848
"198","2144-7-0140",1998,1.45,3,0.455741154604234
"199","2144-7-0140",1999,0.59,3,0.0556776436283002
"200","2144-7-0140",2001,0.57,2,0.240416305603426
"201","2144-7-0140",2003,0.66,1,NA
